img_path,brand,product_name,original_price,deal_price,weight
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\14\kaufland_2638415_14_32838.png,SNACK IT,Vege Story Snack,1.99,1.49,90-g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32855.png,,Dtsch./ital. Tafeläpfel rot,,2.49,2-kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\16\kaufland_2638415_16_32859.png,,Dtsch. Zwiebeln,,0.99,2-kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\17\kaufland_2638415_17_32863.png,,Span. Staudensellerie,,0.99,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\42\kaufland_2638415_42_33111.png,K-CLASSIC Rapsöl,1.49,1.11,1-l,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\15\lidl_2638436_15_33186.png,Grafschafter,Pure Kornkraft Haferbrot,,1.29,400 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\17\lidl_2638436_17_33210.png,Cien,Reichhaltige Tagespflege,1.65,1.39,50 ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\56\lidl_2638436_56_33392.png,Iglo,Rahm-Spinat,3.29,1.79,750 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\14\metro_2492948_14_7067.png,Bonne Maman,Konfitüre/Gelee,,2.29,370g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\metro\2492948\20\metro_2492948_20_7122.png,Tullamore Dew,Irish Whiskey,,11.49,0.7l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\1\nahkauf_2450246_1_2205.png,Weihenstephan,Naturjoghurt mild,,0.88,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\1\nahkauf_2450246_1_2207.png,Havana Club,Anejo 3 Anos,,9.99,0.7l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2211.png,,Helle Tafeltrauben,,1.99,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2212.png,,Blumenstrauß Coffeetime,,7.99,Bund
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\3\nahkauf_2450246_3_2218.png,Milram,Frühlingsquark,,0.99,185g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\3\nahkauf_2450246_3_2220.png,Popp,Feinster Fleischsalat,,1.29,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2231.png,Chio,Tortillas,,1.11,110g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2236.png,Knorr,Pasta Pot,,0.99,63g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2576344\6\norma_2576344_6_23679.png,Harry,Dinkel Krüstchen,2.39,1.99,480g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\norma\2594726\4\norma_2594726_4_25335.png,Odenwald,Wild-Preiselbeeren,3.49,1.99,390g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\11\penny_2447156_11_1327.png,Wash & Go,Shampoo & Conditioner,,1.49,400ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1500.png,LÄTTA,Halbfettmargarine,1.99,1.11,450g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1502.png,SANELLA,Streichfett,1.99,1.29,400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1503.png,STARBUCKS,Frappuccino,2.59,1.59,250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1508.png,ZOTT,Monte,2.69,1.49,4x100g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\10\rewe_2449057_10_1527.png,Brandt,Finn Crisp,,1.49,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1559.png,Rewe Hausmarke,Zwiebelmettwurst,,1.9,200g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1561.png,Merl,Zarte Heringsfilets in Sahnesauce,,3.0,500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\1\rossmann_2449857_1_1736.png,,Thermo-Nierenwärmer,,6.99,
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1936.png,Diadem,Coloration,,3.99,Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1946.png,Gliss,Glanz Tonic,,4.49,100ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2449857\7\rossmann_2449857_7_1948.png,L'Oreal,Preference Coloration,,6.99,Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rossmann\2527346\13\rossmann_2527346_13_13863.png,Milka,Favourites,,2.29,158g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\11\tegut_2450247_11_2272.png,Ehrmann,Robby Fruchtquark,1.29,0.99,300g Packung
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\17\tegut_2450247_17_2316.png,Volvic,Bio-Essence,1.69,1.29,0.75l Flasche
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\21\tegut_2450247_21_2358.png,Rothaus,Tannenzäpfle Pils,,14.99,24x0.33l Fl./Kasten
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\4\tegut_2450247_4_2393.png,Bioland,Bio-Wirsing,,1.99,1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\6\tegut_2450247_6_2407.png,,Entrecote,,2.99,100g
