img_path,ppocr_ocr,easyocr_ocr,tesseract_ocr,doctr_ocr
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\17\kaufland_2638415_17_32863.png,Unverpackt L AKTION Span. nur Staudensellerie 0.99 KI.1 je Stuck,Unverpackt AKTION Span. nur Staudensellerie KL / 0.99~ je Stück,"Action |

Span.
Staudensellerie
Ku.ı
je Stück
Ma nn
","Unverpackt

AKTION
Span.
nur
Staudensellerie
KI.I
0.99
je Stuck"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\42\kaufland_2638415_42_33111.png,reines K-CLASSIC Rapsol Rapsol vielseitig einsetzbar je 1-I-FI.  -25% 1.49 1.11,reined K-CLASSIC Rapsöl Rapsöl vielseitig einsetzbar je 1-L-FL 87 -25% 149 1.11,,"-
reines
K-CLASSIC
Rapsol
Rapsol
vielseitig einsetzbar
je 1-1-FI.
-
g1:-25%
1.49
."
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\7\penny_2447156_7_1503.png,"VANILLA COFFEE STARBUCKS Frappuccino* Versch. Sorten, je250ml 1=6.36 STARBUCKS -38% trappucci ""STARSUCKS 250ml trappuco 1.59 250m UVP2.59",VaNilla Coffee STARBUCKS Frappuccino * Versch. Sorten je 250 ml (11=6.36) quek 38% hichpuccv | saucy 25Oml Hattucs 1.59 25Om UVP2s?,"STARBUCKS
Frappuccino®

versch.
Sorten,
je 250 ml
®

am
van. ER
[ar

(11=6.36)

","VANILLA
STARBUCKS
COFFEE
Frappuccino*
Versch.
sorten,
je 250ml
1l=6.36)
STARBUCKS
-38%
Tobbucti
 uck
250ml
-
bbuc 1.59 - -
250m
UVP 2.59 -"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\1\nahkauf_2450246_1_2207.png,DUDAnH Club ORIGINAL ANEJO3 ANOS * Havana Club KNALLER Anejo3Anos 999 40%Vol. je07-1-Fl 11=14.27,"uo Havang Club 4n0 a610 ORIGINAL AnEJo ANoS Havana Club KNALLER Alejo 3 Anos 400 Vol , 999 je 0,7-L-FL (1/ = 14.27)","ORIGINAL
Aauo3 an0s

Havana Club

Afiejo 3 Aos
40% Vol., 99
je 0,7-EFl. a
{41=44.27)

","AO
3
Alo,
DE Cva
Havana
Club
AND AGID d
ORIGINAL
AREJO3ANOS
tunomm
Havana Club
KNALLER
Anejo 3 Anos
40% Vol;
je0,7-1-FL
999
(11-14:27)"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\19\edeka_2636259_19_32681.png,Milka Haselnusscreme 600 g Maxi Glas 1kg=4.98 MAXI BLAS Milka AKTIONSPREIS 299,Milka Haselnusscreme 600 g Maxi Glas kg = € 4.98) AKTIOHSPREIS [299 Oiilka neneren,"rem

Milka

Haselnusscreme
600 g Maxi Glas
(Ikg=€ 4.98)
","Milka
Haselnusscreme
600 g Maxi Glas
(1 kg :€ 4.98)
-
AMTIONSPREIS
Milke
tacruserne
299"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7543.png,"81 HiPP Himbeer Reitwatfsin 81 HiPP Apfel -38% Hipp 79 Reiswaffeln 0, versch.Sorten 30g UVP1,29 1kg=26,33","Himbeer 8 H Apfci 38% Reiswaffeln 0,79 versch. Sorten 30 g UVP 1,29 k8 26,33 Hipp","Reiswaffeln
versch. Sorten

308
1kg = 26,33
","HEPP
Himbeer
Reisaaffaln
HPpP
Apfel
Pasaofte
-38%
Hipp
79
Reiswaffeln
0.
versch. Sorten
30 df
UVP1,29
1 - kg a 26,33"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\1\budni_2449109_1_1657.png,"Dallmayr Prodomo Kaffee gemahlen 500g 1kg=51.73 Dallmayr -24% prodomo 5 69 UVP7,49","Dallmayr Prodomo Kaffee gemahlen 500 g 1 kg 51.73 ""249 Dallmayr prodomo 69 5, UVP 7,49","CE

Dallmayr
Prodomo
Kaffee
gemahlen
500g
1kg=5

Dallmayr 20%}

","Dallmayr
Prodomo
Kaffee
gemahlen
500 g
1 kg - - 51,73
-24%
Dallmayr
prodomo
69
-
- -
5,
UVP7,49"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7516.png,"dusc Duschdas Duschgel versch.Sorten dusch 225ml das 11=4.40 -44% Me 99 UVP1,79","dusd Duschdas Duschgel versch. Sorten 225 ml 1/ = 4,40 449 9 99 0 UVP 1,79 dusd e","Duschdas
Duschgel
versch. Sorten
225 ml

","dusch
Duschdas
Duschgel
versch. Sorten
duscil
225 ml
da
11=4,40
-44%
-
-
0,99
UVP - 1,79"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\8\edeka_2441853_8_677.png,"Bio KARTOFFEL- POREE EDEKA BIO EDEKA Bio Kartoffelpuree leicht und cremig 1kg=8.06,n.G.=1,99 0.70 SIESPAREN 2 Beutel= 160g Packung","Cio KARTOFFEL- PÜREE EDEKA BIO EDEKA Bio 29 Kartoffelpüree leicht und cremig Ikg 8,06, 1,99 Sie Sparek 2 Beutel 160g Packung 0.70c n G","EDEKA Bio

Kartoffelpüree

Teicht und remig

1g=8,08,n.6.=1,99 SESTIREN
2 Beutel = 160g Packung 0.70:
","KARTOFFEL
-
PUREE
1
- -
EDEKA BIO
-
EDEKA Bio
Aartorreipuree
29
leicht und cremig
Ikg - 8,06, - n.G.=1 1,99
SIE a SPAREN
2 Beutel = 160g Packung
0.70€"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\kaufland\2638415\14\kaufland_2638415_14_32838.png,"SNACK!T -VEGE SNACK IT STORY SNACH Vege Story Snack veganer Snack nach Kabanossi-Art, Original, Piri-Piri SNACK!T oder 3 Seeds -VEGE je90-g-Packg 1kg=16.56 STORY SNACK -25% ORIGINAL 1.99 1.49","Shac VEGE SNACK IT SToRy Vege Snack veganer Snack nach Kabanossi-Art, Original, Piri-Piri SMACKIT oder 3 Seeds je 90-g-Packg_ VEGE (1 kg = 16.56) STOPY ML -25% Gigiaal 199 1.49 Story","SNACK IT

SNACK IT
Vege Story Snack
veganer Snack nach
« Kabanossi-Art,
Original, Piri-Piri
oder 3 Seeds
je 90-g-Packg.
(Ikg = 16.56)

-25%

aRISInAL

„u. 199
All 1.49
","-
SNACKIT
VEGE
SNACK IT
STORY
SNACK
Vege Story Snack
veganer Snack nach
Kabanossi-Art,
Original, Piri-Piri
SNACKIT
oder 3 Seeds
je 90-g-Packg.
VEGE
(1 kg = 16.56)
STORY
SNACK
-25%
5
ORIGINAL
1.99 -
1.49"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2479913\4\budni_2479913_4_6049.png,"Surig Essigessenz vegan SURIG 400g 1kg=2,48 Essig -33% essenz 99 UVP1,49","Surig Essigessenz vegan SURIG 400 g 1 kg 2,48 33% Fenz 99 0, UVP 1,49 Eria","Surig
Essigessenz

vegan

400g
1kg = 2,48

","Surig
Essigessenz
vegan
SURIG
400 g
1kg : 2,48
Essig -
-33%
C69Ch2
- -
99
0.
UVP1,49"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2211.png,"KERNLOS Italien/Spanien: Helle Tafeltrauben AKTION Sorte:siehe'Etikett, 199 Kl.I je 500-g-Schale 1kg=3.98","KERNLOS Italien /Spanien: Helle Tafeltrauben AKTION Sorte: siehe Etikett, 1.500-9-Schale 199 (1 kg = 3.98)","Italien/Spanien:

Helle Tafeltrauben ION
Sorte: siehe Etikett, AKT!
Ku, 99
je500-g-Schale 1}
(1’kg =3.98)

","KERNLOS
talien/Spanien:
Hellelateltrauben
:
AKTION
Sorte: siehe Etikett,
KL,
je500-g-Schale
199
(1kg 3.98)"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2636259\1\edeka_2636259_1_32617.png,"Driscoll's Peru Kulturheidelbeeren Klasse l,500 g Schale 1kg=5.98 SUPERKNULLER -40% 299 4.99","[Driscoe?s Peru Kulturheidelbeeren Klasse |, 500 g Schale (1 kg = € 5.98) SUPERKHÜLLER -409 299 499","[ Peru
LTE yulturheidelbe

eren

2 ng Klasse |, 500 g Schale

F= wi Oo (Ikg= € 5.98)
FIN

","Driscolls
Peru
kutturherdelbeeren
Klasse I, 500 g Schale
(1kg €5 5.98)
SUPERKNULLER
40%
299
400!
-"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\2\budni_2494853_2_7530.png,"bebe bebe -28% bebe Reinigungs- 1, 79 tucher versch.Sorten UVP2,49 25 Stuck","bebe bebe 28% bebe Reinigungs- 1,79 tücher versch. Sorten UVP 2,49 25 Stück","bebe
Reinigungs-
tücher
versch. Sorten
25 Stück

","-
bebe
- - 1
- - -
-
-
bebe
- 1
- -
-28%
bebe
-
79
Reinigungs-
cucher
1,
versch. Sorten
UVP2,49
25 Stuck"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\2\nahkauf_2450246_2_2212.png,"BlumenstrauB Coffeetime* versch.Zusammen AKTION stellungen,mit 799 Floralife Schnitt blumennahrung, je Bund","Blumenstrauß Coffeetime* versch Zusammen AktIOn stellungen, mit Floralife Schnitt 99 blumennahrung, je Bund","Blumenstrauß
Coffeetime*
versch. Zusammen-.
stellungen, mit
Floralife Schnitt-
blumennahrung,

‚ je Bund

","-
Blumenstraus
-
Coffeetime
versch. Zusammen-
AKTION
stellungen; mit
Floralife - - Schnitt:
blumennahrung,
- -
799
jeBund
a"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\17\lidl_2638436_17_33210.png,"Cien Reichhaltige Cien Tagespflege Je 50ml 11=27.80 Reichhaltige TAGESPFLEGE Stiftung 24H FEUCHTIGKEIT Warentest REICHHALTIGKEIT mit Hyaluron und test Mandelol for trockene und sensible Haut GUT 2,0 Cien Reichhaltige 50ml Tagespflege -15% 1.65 Ausgabe 4/2024 www.test.de 1.39 24KG51","Cien Reichhaltige Cien Tagespflege Je 50 ml 1/ = 27.80 Keickheltae TAGESPFLEGE Stiftung P Euchtigkeit reichhaltigkeit Warentest rivaluronuno Mandeloi test fur trockenc und ""n2iDlu Hqui GUT (2,0) 5Oml Cien Reichhaltige Tagespflege ~159 4465 Ausgabe 4/2024 WWW test.de 24KG51 1.39","GUT (2,0)
| Sen rsicnange

| Tagesptese

‚Ausgabe 4/2024
www.test.de

24KG51 |

","Cien
Reichhaltige
Cien
lagespflege
70%
Je 50 ml
11= 27.80
Keichhalige
TAGESPFLEGE
Stiftung
24H FEUCHTIGKEIT
REICARALTIOKET
Warentest
mit tyaluron und
Mandelon
test
for trockene und
sensiblo Haut
- -
I
GUT (2,0)
50ml
Cien Reichhaltige
Tagespflege
-15%
1.65
Ausgabe 4/2024
www.test.de
:
24KG51
1.39"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2449109\8\budni_2449109_8_1725.png,"Cafe Intencion Crema Aromatico ganze Bohne Cafe 1kg Intencion -30% 13, 66 UVP19,99","Cafe Intencion Crema Aromatico ganze Bohne Cale Incencion 1 kg 309 99 13, UVP 19,99","Cafe
Intenciön
Crema
Aromatico
ganze Bohne

en | 1kg

","-
:
Café
AIRVRADE
Intencion
Crema
Aromatico
ganze Bohne
Café
Intencion
1kg
-30%
99
13,
UVP19,99"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\11\penny_2447156_11_1327.png,"Wash WASH&GO FA Wash Shampoo& SHAMPO &Go Conditioner' .CONDmO Versch.Sorten, 2in1 je400ml Erfriachith SHANPOD SCONOITIONER 11=3.73) SPORT 2in1 Sauberss.sars and gesuedes tan CLASSIC Aktion 1.49","[Wash @Gc Wash & Go 28 [Wash Shampoo & Shameo @Go Conditioner  Gomo Versch. Sorten, 2i1 E je 400 ml Prtrohn Son A CoioneR (1l=3.73) SpoaTi 2in1 ClassIC Aktion 1.49","WASH & GO
Shampoo &
Conditioner®
Versch. Sorten,

Fu) © je 400 ml
Fr (11=3.73)

","Wash
&G4
WASH &GO
BNS
2A
Wash
Shampoo &
SHAMPO
&Go
Conditioner""
SCGNDMTO
Versch.sorten,
2in1
B
je 400 - ml
frachi l
SHAMPOO
Ka
& CONOMTIONER
(1l=3.73)
SPORT
2in1
Sauberss. arkis
ana gudes Ma
CLASSIC
Aktion
1.49"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2441853\17\edeka_2441853_17_606.png,"Smirnoff Vodka 37,5 %Vol. 0,7L 1L=14,27 SMIRNOFSMIRNOFF N921 N921 FOOKA VODKA -23% 6 99 12.99","Smirnoff Vodka 37,5 % Vol 0,7 L 1L = 14,27 EirnofemiRnofr 4021 u 7ndrk -23% 999 12-99","Smirnoff Vodka

37,5 % Vol.

0,7L

— — 1L= 14,27

SMIRNDFSMIRNDFF

MEER
9?
„1239
","Smirnotit Vodka
37,5 % Vol.
0,7L
1L=14,27
SMIRNOFSMIRNDF:
N21
N921
FaosA
VoosA
-23%
-
- -
0,99
.12.99"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\nahkauf\2450246\6\nahkauf_2450246_6_2231.png,"Chio Chio Tortillas HoChili Tortillas Cheese Chio AKTION Tortillas 111 versch.Sorten, je110-g-Btl. 1kg=10.09","[Tor Hochili Chio AKTION Tortillas versch. Sorten 1"" je 110-g-BtL (1 kg = 10.09) Chio Chio 'tillas Tortillas Checse","Chio

Tortillas
versch. Sorten,
je 110-9-Btl.
(4:kg =10.09)
","Chio
Chio
Tortillas
Hof Chili
Tontillas
Nach
Cheese
Chio
AKTION
Tortillas
versch.Sorten,
-
e:110-g-BtL
111
1 (1-kg 10.09)"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\1\hit_2452350_1_2443.png,HAUSGEMACHT FRI Deutsches frisches AKTION! Hackfleisch gemischt 899 vom Schwein und Rind 1 kg,HAUSGEMACHT Deutsches frisches AKTION! Hackfleisch gemischt vom Schwein und 899 Rind Ikg unC,"Tann

A

Deutsches
frisches»
Hackfleisch
gemischt

vom Schwein und
Rind

Ikg

","HAUSGEMACHT
s
-
uy
9
-
Ciste
Deutsches
frisches
AKTION!
Hackfleisch
gemischt
vom Schwein und
Rind
1kg"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\15\rewe_2449057_15_1559.png,NRW HeimatProdukt HAUS REWE MARKE Aktion REWE Hausmarke 190 Zwiebelmettwurst je200-g-Pckg 1kg=9.50,NRW Hcimat Produkt HAUS REWE MARKE Aktion REWE Hausmarke Zwiebelmettwurst 90 je 200-g-Pckg. (1 kg 9.50),"REWE Hausmarke
Zwiebelmettwurst
je 200-g-Pckg.
(1kg = 9.50)

","o -
NRW
EA
HcimatProdukt
REWE
HAUS
MARKE
Aktion
REWE Hausmarke
wiebelmettwurst
je 200-8-Pckg.
190
(1 kg = 9.50)"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\11\tegut_2450247_11_2272.png,"statt1,29 Ehrmann 23% ROBBY gunstiger 660 Erdbeere Banane Himbeere (Ehrman) Ehrmann Chman ROBBY ROBBY ROBB Erdteere Bangae Himbaere Ehrmann Robby Fruchtquark Erdbeere,Banane und Himbeere, Viertelfettstufe im Milchanteil 1kg=3,30,6x50g=300gPackung","statt 1,29 ernann R BBY 23 % günstiger Erobcoro Banane Migodegre 029 ean Uann ea7 ROBBY RoBB Tuano pno Ehrmann Robby Fruchtquark Erdbeere, Banane und Himbeere, Viertelfettstufe im Milchanteil, 1 kg 3,30 €,6 x 50 g = 300 g Packung RoBBY","statt 4529

23%

günstiger

Ehrmann Robby Fruchtquark
Erdbeere, Banane und Himbeere, Viertelfettstufe im Milchanteil,
1kg=3,30 €, 6x 50 g= 300 g Packung
","statt 1,29
Chrmann
-
08B
23%
Mts
gunstiger
PcMww
pr
-

Erdbeere
Banane
Himbeere
099
- hrmano)
Chrmann)
Chmanu
ROBBY
ROBBY
-
ROBBY
-
-
- -
Lrdure
Banaee
Himbeere
Ehrmann Robby Fruchtquark
Erdbeere, Banane und Himbeere, Viertelfettstufe im Milchanteil,
1 kg = 3,30 €, - 61 x50 8 = 300 8 Packung"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\9\edeka_2634278_9_32109.png,alpro Drink haltbar je 1 Packung alpro alpro SUPERKNULLER -33% GEROSTETE BARISTA MANDEL KOKOS CREMIGER 2.99,alpro Drink haltbar je 1l Packung SUPERKNÜLLER 33% GEROSTETE BARISTA MANDEL KoKoS G 199 299 alpro] lalprol,"alpro Drink
haltbar
je Il Packung

alpro SUPERKNÜLLER
au I Mm
? =»
-

","alpro Drink
uM
-
haltbar
A -
je 11 Packung
alpro
alpro
SUPERKNULLER
-33%
- -
BARISTA
GEROSTETE
MANDEL
KOKOS

DEGE
199
2.99"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\penny\2447156\6\penny_2447156_6_1500.png,"LATTA Halbfett- margarine Versch.Sorten, je450g 1kg=2.47 LATTA 44% JOGHURT 1.11 LATTA NATRDCH FRCHER ORIGINAL GESCHMACX","LTTA Halbfett- margarine Versch; Sorten, je 450 g (1kg = 2.47) ""44% 1.11 UVP 1-99 C LÄJA Alm MATLICan POCHsk ORIGiNAl LÄIIA Joghurt",,"LATTA
Halbfett-
margarine
*
Versch.Sorten,
je 450 9
a &
(1 kg =2.47)
-
JOGNURT
LATA
-
-44%
w 
1.11
- a - - -
UVP
- 
3.99
-
ONME
LATTA
444 M 6
MAMRDC ASCHER ORIGINAL
GESCHMACK"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\tegut\2450247\4\tegut_2450247_4_2393.png,Wirsing- 1kg Spatzle-Pfanne . deftig-wurzig BIO Bioland Bio-Wirsing aus Vertragsanbau in Deutschland Bioland Klasse II,Wirsing- 1 kg Spätzle-Pfanne 199 deftig-würzig BIO Bioland Bio-Wirsing aus Vertragsanbau in Deutschland Klasse II Bioland,"deftig-würzig

ioland Bio-Wirsii
aus Vertragsanbau in Deutschland #

Klasse II

","Wirsing.
1 kg
Spatzle-Pfanne
199
dertig-wurzig
BIO
Bioland Bio-Wirsing
aus Vertragsanbau in Deutschland
Klasse II
Bioland"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\rewe\2449057\10\rewe_2449057_10_1527.png,"F&NN Vegan CRISP FANN ONGINAL CRISP Aktion Brandt Finn Crisp 149 versch.Sorten, je200-g-Pckg 1kg=7.45",FNN Csra cRIsr FANN Aktion Brandt Finn Crisp vezso-Soceg 149 (1 kg = 7.45) Vegan Mg CRIsP,"Brandt

Finn Crisp
versch. Sorten,
je 200-g-Pckg.
(I kg = 7.45)
","0
FNN
nSTRu
Vegan
CRISP
/
FUNN
DAGAAI
CRISP
-
Aktion
Brandt
Finn Crisp
versch. Sorten,
je 200-g-Pckg.
149
(1 kg = 7.45)"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\lidl\2638436\56\lidl_2638436_56_33392.png,iglo Rahm-Spinat BLUBB Tiefkuhlung 45% Plus Iglo 3.29 Rahm-Spinat 1.79 (P Je 750 g1kg=2.39,iglo Rahm-Spinat BLUBB Kosk Tiefkühlung Plus 459 Iglo 3429 Rahm-Spinat 1.79 #d) Je 750 g; 1kg = 2.39,"Rahm-Spinat
Je 750 g;1kg=2.39
","iglo
A
Rahm-Spinat
der mit den
BLUBB
Nur glig 
- -
LPr
Tiefkuhlung
-45%
Plus
200
Iglo
-
Rahm-Spinat
-
1.79*
Je 750 g;1kg = 2.39"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\3\budni_2494853_3_7546.png,"mlap Milupa Milchbrei versch.Sorten 400g 1kg=8,73 mape -30% 3 49 UVP4,99","Milupa Milchbrei versch. Sorten 400 g 1 kB 8,73 309 3,49 5 UVP 4,99","Milupa
Milchbrei
versch. Sorten

4008
1kg=-8,73
","- - -
Milupa
Milchbrei
versch. Sorten
400 g
1 - kg : 8,73
-30%
49
-
3,
UVP4,99"
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\budni\2494853\1\budni_2494853_1_7517.png,"Katjes Katjes WUNDER. LANDA -42% Katjes 69 Fruchtgummi versch.Sorten 175 g UVP1,19 1kg=3.94","Katjes Katies SUnDer Lan 42% Katjes 69 Fruchtgummi 0 versch. Sorten 175 g UVP 1,19 1 ke 3,94",,"Kati
WADER
ANP
-42%
Katjes
-
69 -
Fruchtgummi
0,
versch. Sorten
175 g
UVP 1,19
1 - kg-3,94"
