img_path,Marke,Produktname,Original Preis,Reduzierter Preis,Gewicht
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\4\edeka_2634278_4_32070.png, , Tafeläpfel, , 2.00, 2kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32072.png, , Bio-Zucchini, , 1.77, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32076.png, ," Bio-Speisekürbis ""Hokkaido""", , 1.69, 1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32078.png, , Ballensalat Trio-Mix, , 1.49, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32079.png, , Mini-Rispentomaten, , 2.99, 300g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32080.png, , Kohlrabi, , 0.59, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32082.png, , Bio-Paprika, , 1.77, 400g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\5\edeka_2634278_5_32083.png, , Bio-Kräuterseitlinge, , 2.49, 150g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\9\edeka_2634278_9_32106.png, true fruits, Smoothie, , 2.29, 250ml
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\9\edeka_2634278_9_32109.png, alpro, Drink, 2.99, 1.99, 1L
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\9\edeka_2634278_9_32110.png, Berchtesgadener Land, Frucht-Joghurt, , 0.44, 150g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\10\edeka_2634278_10_31904.png, Settele, Eier-Spätzle, 2.19, 1.79, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\10\edeka_2634278_10_31907.png, McCain, Golden Longs, 4.99, 2.99, 1kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\26\edeka_2634278_26_32037.png, Ehrmann, Almighurt, 0.79, 0.29, 150g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\24\edeka_2634278_24_32014.png, , Minigurken, , 2.49, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\24\edeka_2634278_24_32018.png, , Brokkoli, , 1.49, 500g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\edeka\2634278\24\edeka_2634278_24_32019.png, , Mini-Romanasalat, , 1.00, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\getraenkeland\2440650\2\getraenkeland_2440650_2_297.png, Desperados, Original, 3.29, 2.49, 0.65 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\getraenkeland\2440650\2\getraenkeland_2440650_2_299.png, Desperados, Original, 2.29, 1.99, 0.5 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\getraenkeland\2440650\5\getraenkeland_2440650_5_314.png, Grant's Triple Wood, Blended Scotch Whisky 40% Vol., 12.49, 9.99, 0.7 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\getraenkeland\2627221\5\getraenkeland_2627221_5_31258.png, Three Sixty, Vodka 37.5% Vol., 13.99, 10.99, 0.7 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2461970\18\globus_2461970_18_3784.png, Gönrgy, Energy Drink, 1.49, 1.29, 0.5 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2461970\18\globus_2461970_18_3787.png, Hell, Energy Drink, 0.89, 0.69, 0.25 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2461970\18\globus_2461970_18_3790.png, Acáo, Koffeinhaltiges Erfrischungsgetränk, 1.69, 1.49, 0.25 l
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6833.png, , Riesenpapayas, , 3.99, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6835.png, Vantastic Food, Big Steaks, 5.99, 4.99, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6838.png, ," Tafelbirnen ""Abate Fetel""", , 1.49, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6840.png, , Pflaumen rot/blau, , 1.39, 500 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6841.png, , Snack-Gurken, , 1.29, 250 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6842.png, , Feldsalat, , 0.79, 150 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6844.png, ," Ananas ""Extra Sweet""", , 2.22, 
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6845.png, , Spitzkohl grün, , 0.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6846.png, , Bio Kiwi-Beeren, , 2.22, 125 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6847.png, , Wirsing, , 0.99, 1 kg
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\6\globus_2492207_6_6848.png, Frankonia, Haselnuss-Kakao-Waffeln, , 2.79, 175 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\7\globus_2492207_7_6851.png, Lotus Biscoff, Das Original Karamellgebäck, , 1.49, 250 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\7\globus_2492207_7_6853.png, Tukan, Bio Räuchertofu, 3.29, 2.99, 200 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\7\globus_2492207_7_6854.png, Billie Green, Veganer Bacon, , 1.79, 90 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2492207\7\globus_2492207_7_6855.png, Billie Green, Vegane Salami, , 1.29, 70 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\globus\2634313\18\globus_2634313_18_32120.png, Alnatura, Bio Pommes frites, , 2.49, 600 g
D:\OneDrives\OneDrive\Gabrilyi\leaflet_project\deals\hit\2452350\1\hit_2452350_1_2441.png, Weihenstephan, Butter oder Streichzart, 3.29, 1.99, 250 g
